Device,Test Name,Test Status,Message(s),Test description,Test category
htft-leaf1a,VerifyBGPPeerSession,failure,Peer: 10.255.0.2 VRF: default - Incorrect session state - Expected: Established Actual: Active,Verifies the session state of BGP peers.,BGP
htft-leaf1a,VerifyRunningConfigDiffs,success,,Verifies there is no difference between the running-config and the startup-config.,Configuration
htft-leaf1a,VerifyZeroTouch,success,,Verifies ZeroTouch is disabled.,Configuration
htft-leaf1a,VerifyLLDPNeighbors,success,,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Connectivity
htft-leaf1a,VerifyReachability,success,,Verifies point-to-point reachability between Ethernet interfaces.,Connectivity
htft-leaf1a,VerifyReachability,failure,Destination 10.255.0.2 from Loopback0 in VRF default - Packet loss detected - Transmitted: 1 Received: 0,Verifies reachability to BGP neighbors with an update source configured.,Connectivity
htft-leaf1a,VerifyEnvironmentCooling,skipped,VerifyEnvironmentCooling test is not supported on cEOSLab,Verifies the status of power supply fans and all fan trays.,Hardware
htft-leaf1a,VerifyEnvironmentPower,skipped,VerifyEnvironmentPower test is not supported on cEOSLab,Verifies the power supplies state and input voltage.,Hardware
htft-leaf1a,VerifyEnvironmentSystemCooling,skipped,VerifyEnvironmentSystemCooling test is not supported on cEOSLab,Verifies the device's system cooling status.,Hardware
htft-leaf1a,VerifyTemperature,skipped,VerifyTemperature test is not supported on cEOSLab,Verifies if the device temperature is within acceptable limits.,Hardware
htft-leaf1a,VerifyTransceiversTemperature,skipped,VerifyTransceiversTemperature test is not supported on cEOSLab,Verifies if all the transceivers are operating at an acceptable temperature.,Hardware
htft-leaf1a,VerifyIllegalLACP,success,,Verifies there are no illegal LACP packets in port channels.,Interfaces
htft-leaf1a,VerifyInterfaceDiscards,failure,Interface: Management0 - Non-zero discard counter(s): inDiscards: 30,Verifies that the interfaces packet discard counters are equal to zero.,Interfaces
htft-leaf1a,VerifyInterfaceErrDisabled,success,,Verifies there are no interfaces in the errdisabled state.,Interfaces
htft-leaf1a,VerifyInterfaceErrors,success,,Verifies that the interfaces error counters are equal to zero.,Interfaces
htft-leaf1a,VerifyInterfaceUtilization,success,,Verifies that the utilization of interfaces is below a certain threshold.,Interfaces
htft-leaf1a,VerifyInterfacesStatus,failure,"Interface: Vxlan1 - Status mismatch - Expected: up/up, Actual: down/down",Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interfaces
htft-leaf1a,VerifyPortChannels,success,,Verifies there are no inactive ports in port channels.,Interfaces
htft-leaf1a,VerifyStormControlDrops,skipped,VerifyStormControlDrops test is not supported on cEOSLab,Verifies there are no interface storm-control drop counters.,Interfaces
htft-leaf1a,VerifyLoggingErrors,success,,Verifies there are no syslog messages with a severity of ERRORS or higher.,Logging
htft-leaf1a,VerifyMlagConfigSanity,success,,Verifies there are no MLAG config-sanity inconsistencies.,MLAG
htft-leaf1a,VerifyMlagInterfaces,success,,Verifies there are no inactive or active-partial MLAG ports.,MLAG
htft-leaf1a,VerifyMlagStatus,success,,Verifies the health status of the MLAG configuration.,MLAG
htft-leaf1a,VerifyRoutingProtocolModel,success,,Verifies the configured routing protocol model.,Routing
htft-leaf1a,VerifySTPCounters,success,,Verifies there is no errors in STP BPDU packets.,STP
htft-leaf1a,VerifyAgentLogs,success,,Verifies there are no agent crash reports.,System
htft-leaf1a,VerifyCoredump,success,,Verifies there are no core dump files.,System
htft-leaf1a,VerifyFileSystemUtilization,success,,Verifies that no partition is utilizing more than 75% of its disk space.,System
htft-leaf1a,VerifyMaintenance,success,,Verifies that the device is not currently under or entering maintenance.,System
htft-leaf1a,VerifyMemoryUtilization,success,,Verifies whether the memory utilization is below 75%.,System
htft-leaf1a,VerifyNTP,failure,NTP status mismatch - Expected: synchronised Actual: unsynchronised,Verifies if NTP is synchronised.,System
htft-leaf1a,VerifyReloadCause,success,,Verifies the last reload cause of the device.,System
htft-leaf1a,VerifyVxlanConfigSanity,failure,Vxlan Category: localVtep - Config sanity check is not passing,Verifies there are no VXLAN config-sanity inconsistencies.,VXLAN
htft-leaf1b,VerifyBGPPeerSession,failure,Peer: 10.255.0.2 VRF: default - Incorrect session state - Expected: Established Actual: Active,Verifies the session state of BGP peers.,BGP
htft-leaf1b,VerifyRunningConfigDiffs,success,,Verifies there is no difference between the running-config and the startup-config.,Configuration
htft-leaf1b,VerifyZeroTouch,success,,Verifies ZeroTouch is disabled.,Configuration
htft-leaf1b,VerifyLLDPNeighbors,success,,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Connectivity
htft-leaf1b,VerifyReachability,success,,Verifies point-to-point reachability between Ethernet interfaces.,Connectivity
htft-leaf1b,VerifyReachability,failure,Destination 10.255.0.2 from Loopback0 in VRF default - Packet loss detected - Transmitted: 1 Received: 0,Verifies reachability to BGP neighbors with an update source configured.,Connectivity
htft-leaf1b,VerifyEnvironmentCooling,skipped,VerifyEnvironmentCooling test is not supported on cEOSLab,Verifies the status of power supply fans and all fan trays.,Hardware
htft-leaf1b,VerifyEnvironmentPower,skipped,VerifyEnvironmentPower test is not supported on cEOSLab,Verifies the power supplies state and input voltage.,Hardware
htft-leaf1b,VerifyEnvironmentSystemCooling,skipped,VerifyEnvironmentSystemCooling test is not supported on cEOSLab,Verifies the device's system cooling status.,Hardware
htft-leaf1b,VerifyTemperature,skipped,VerifyTemperature test is not supported on cEOSLab,Verifies if the device temperature is within acceptable limits.,Hardware
htft-leaf1b,VerifyTransceiversTemperature,skipped,VerifyTransceiversTemperature test is not supported on cEOSLab,Verifies if all the transceivers are operating at an acceptable temperature.,Hardware
htft-leaf1b,VerifyIllegalLACP,success,,Verifies there are no illegal LACP packets in port channels.,Interfaces
htft-leaf1b,VerifyInterfaceDiscards,failure,Interface: Management0 - Non-zero discard counter(s): inDiscards: 31,Verifies that the interfaces packet discard counters are equal to zero.,Interfaces
htft-leaf1b,VerifyInterfaceErrDisabled,success,,Verifies there are no interfaces in the errdisabled state.,Interfaces
htft-leaf1b,VerifyInterfaceErrors,success,,Verifies that the interfaces error counters are equal to zero.,Interfaces
htft-leaf1b,VerifyInterfaceUtilization,success,,Verifies that the utilization of interfaces is below a certain threshold.,Interfaces
htft-leaf1b,VerifyInterfacesStatus,failure,"Interface: Vxlan1 - Status mismatch - Expected: up/up, Actual: down/down",Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interfaces
htft-leaf1b,VerifyPortChannels,success,,Verifies there are no inactive ports in port channels.,Interfaces
htft-leaf1b,VerifyStormControlDrops,skipped,VerifyStormControlDrops test is not supported on cEOSLab,Verifies there are no interface storm-control drop counters.,Interfaces
htft-leaf1b,VerifyLoggingErrors,success,,Verifies there are no syslog messages with a severity of ERRORS or higher.,Logging
htft-leaf1b,VerifyMlagConfigSanity,success,,Verifies there are no MLAG config-sanity inconsistencies.,MLAG
htft-leaf1b,VerifyMlagInterfaces,success,,Verifies there are no inactive or active-partial MLAG ports.,MLAG
htft-leaf1b,VerifyMlagStatus,success,,Verifies the health status of the MLAG configuration.,MLAG
htft-leaf1b,VerifyRoutingProtocolModel,success,,Verifies the configured routing protocol model.,Routing
htft-leaf1b,VerifySTPCounters,success,,Verifies there is no errors in STP BPDU packets.,STP
htft-leaf1b,VerifyAgentLogs,success,,Verifies there are no agent crash reports.,System
htft-leaf1b,VerifyCoredump,success,,Verifies there are no core dump files.,System
htft-leaf1b,VerifyFileSystemUtilization,success,,Verifies that no partition is utilizing more than 75% of its disk space.,System
htft-leaf1b,VerifyMaintenance,success,,Verifies that the device is not currently under or entering maintenance.,System
htft-leaf1b,VerifyMemoryUtilization,success,,Verifies whether the memory utilization is below 75%.,System
htft-leaf1b,VerifyNTP,failure,NTP status mismatch - Expected: synchronised Actual: unsynchronised,Verifies if NTP is synchronised.,System
htft-leaf1b,VerifyReloadCause,success,,Verifies the last reload cause of the device.,System
htft-leaf1b,VerifyVxlanConfigSanity,failure,Vxlan Category: localVtep - Config sanity check is not passing,Verifies there are no VXLAN config-sanity inconsistencies.,VXLAN
htft-spine1,VerifyBGPPeerSession,success,,Verifies the session state of BGP peers.,BGP
htft-spine1,VerifyRunningConfigDiffs,success,,Verifies there is no difference between the running-config and the startup-config.,Configuration
htft-spine1,VerifyZeroTouch,success,,Verifies ZeroTouch is disabled.,Configuration
htft-spine1,VerifyLLDPNeighbors,success,,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Connectivity
htft-spine1,VerifyReachability,success,,Verifies point-to-point reachability between Ethernet interfaces.,Connectivity
htft-spine1,VerifyReachability,success,,Verifies reachability to BGP neighbors with an update source configured.,Connectivity
htft-spine1,VerifyEnvironmentCooling,skipped,VerifyEnvironmentCooling test is not supported on cEOSLab,Verifies the status of power supply fans and all fan trays.,Hardware
htft-spine1,VerifyEnvironmentPower,skipped,VerifyEnvironmentPower test is not supported on cEOSLab,Verifies the power supplies state and input voltage.,Hardware
